loan_id,customer_id,property_id,loan_amount,balance,interest_rate,risk_class
30104,10104,20104,2467.36,2180.53,5.1,正常
30105,10105,20105,2562.69,1980.59,5.01,正常
30106,10106,20106,1244.05,796.35,6.13,正常
30107,10107,20107,610.61,350.27,4.04,正常
30108,10108,20108,1388.24,1063.12,7.49,正常
30109,10109,20109,6982.71,2568.48,5.18,次级
30110,10110,20110,1455.56,1208.3,6.54,正常
30111,10111,20111,5955.15,5146.67,6.89,正常
30112,10112,20112,8223.41,6340.06,4.01,正常
30113,10113,20113,2269.69,1240.41,6.55,正常
30114,10114,20114,475.87,203.38,6.34,正常
30115,10115,20115,2328.99,2149.53,4.05,正常
30116,10116,20116,6844.11,2730.59,6.74,正常
30117,10117,20117,4950.8,3408.36,5.56,正常
30118,10118,20118,1910.34,808.97,6.72,正常
30119,10119,20119,2470.11,1680.16,5.12,正常
30120,10120,20120,1629.28,926.03,3.69,关注
30121,10121,20121,4061.22,1921.11,5.09,正常
30122,10122,20122,1439.31,838.16,6.97,正常
30123,10123,20123,2859.76,2553.25,4.72,正常
30124,10124,20124,2690.6,1019.41,6.77,正常
30125,10125,20125,5960.94,2577.62,6.84,正常
30126,10126,20126,6475.36,5336.28,4.16,正常
30127,10127,20127,3371.32,1468.37,6.06,正常
30128,10128,20128,1152.4,547.51,3.64,正常
30129,10129,20129,3142.52,2903.19,5.22,次级
30130,10130,20130,3968.49,2810.25,7.9,正常
30131,10131,20131,6736.22,3432.66,5.68,关注
30132,10132,20132,4724.92,3821.44,6.97,正常
30133,10133,20133,1538.83,991.48,5.57,正常
30134,10134,20134,3850.32,2582.35,5.75,正常
30135,10135,20135,5791.11,3538.11,7.82,正常
30136,10136,20136,3146.05,1242.41,6.3,正常
30137,10137,20137,997.32,550.45,3.85,正常
30138,10138,20138,6567.01,6244.41,7.42,正常
30139,10139,20139,8586.15,3383.37,6.21,关注
30140,10140,20140,10762.0,8622.15,5.05,正常
30141,10141,20141,7147.08,6805.58,5.47,关注
30142,10142,20142,4892.05,3128.47,3.69,正常
30143,10143,20143,1336.99,588.56,5.74,正常
30144,10144,20144,3076.56,2080.39,6.42,正常
30145,10145,20145,1124.59,702.96,5.31,正常
30146,10146,20146,2087.37,1940.39,5.15,正常
30147,10147,20147,3929.06,2634.56,4.51,正常
30148,10148,20148,2901.87,1295.09,4.15,正常
30149,10149,20149,2004.76,875.5,4.27,正常
30150,10150,20150,3873.66,1618.39,4.0,正常
30151,10151,20151,1983.69,1275.89,3.6,正常
30152,10152,20152,1421.52,832.19,3.73,正常
30153,10153,20153,3742.41,2161.71,7.84,正常
30154,10154,20154,4466.73,1634.78,4.24,正常
30155,10155,20155,3077.68,1669.49,3.73,正常
30156,10156,20156,1187.48,584.91,5.59,正常
30157,10157,20157,7356.49,3754.63,4.7,正常
30158,10158,20158,8007.5,5928.54,3.92,正常
30159,10159,20159,4211.3,4120.7,3.52,正常
30160,10160,20160,1419.74,515.9,3.66,正常
30161,10161,20161,1929.4,1462.52,4.4,关注
30162,10162,20162,4437.7,2812.68,7.63,关注
30163,10163,20163,5071.54,1642.92,6.23,正常
30164,10164,20164,8778.98,3173.12,7.32,正常
30165,10165,20165,3195.59,1830.77,6.56,正常
30166,10166,20166,2126.17,897.76,6.8,正常
30167,10167,20167,6259.55,4302.41,5.13,次级
30168,10168,20168,3264.64,1503.64,5.66,正常
30169,10169,20169,2733.72,1144.94,6.23,正常
30170,10170,20170,4822.44,2752.45,4.19,正常
30171,10171,20171,3650.22,1153.72,6.91,正常
30172,10172,20172,2949.49,1085.3,7.3,正常
30173,10173,20173,3876.61,3547.0,5.52,关注
30174,10174,20174,2763.79,2246.96,5.17,正常
30175,10175,20175,599.98,347.71,3.97,次级
30176,10176,20176,3827.98,1443.5,6.42,正常
30177,10177,20177,4393.4,1468.16,6.4,正常
30178,10178,20178,8127.82,2504.67,7.85,正常
30179,10179,20179,6230.0,4321.85,7.02,正常
30180,10180,20180,2847.21,2425.96,4.35,正常
30181,10181,20181,2742.03,974.49,4.01,关注
30182,10182,20182,3356.6,3277.69,7.52,正常
30183,10183,20183,2750.1,1720.64,7.23,正常
30184,10184,20184,1540.41,1154.17,7.42,正常
30185,10185,20185,5716.0,4127.95,4.0,正常
30186,10186,20186,3104.38,2222.98,4.43,关注
30187,10187,20187,1631.08,1019.3,3.85,正常
30188,10188,20188,3229.11,2063.98,5.99,正常
30189,10189,20189,971.43,578.97,6.23,正常
30190,10190,20190,2864.07,1562.01,5.01,损失
30191,10191,20191,4185.14,1502.18,4.24,正常
30192,10192,20192,445.85,360.45,7.94,关注
30193,10193,20193,1543.54,1469.36,5.38,正常
30194,10194,20194,5289.54,4930.72,5.68,次级
30195,10195,20195,5336.51,3121.25,7.64,损失
30196,10196,20196,4618.41,4405.67,3.93,正常
30197,10197,20197,1163.81,588.9,6.38,正常
30198,10198,20198,1425.14,1170.94,5.45,正常
30199,10199,20199,803.27,658.25,4.79,正常
