loan_id,property_id,balance,avm_price,true_market,ltv,risk_class,is_high_risk_zone,spatial_feat_missing_pct,status
30048,20048,1008.41,2304.81,1473.37,0.4375,正常,0,0.28,低置信
30049,20049,969.13,3586.5,3303.55,0.2702,正常,0,0.05,正常
30050,20050,1686.18,5005.27,4848.13,0.3369,关注,0,0.11,正常
30051,20051,5630.96,7401.62,8414.8,0.7608,次级,0,0.12,正常
30052,20052,994.7,2174.09,1662.9,0.4575,正常,0,0.13,正常
30053,20053,1154.92,4644.28,4661.15,0.2487,正常,0,0.23,低置信
30054,20054,6348.4,10437.79,10927.06,0.6082,正常,0,0.23,低置信
30055,20055,4173.19,8435.46,8780.51,0.4947,正常,0,0.25,低置信
30056,20056,1045.26,4355.92,4142.42,0.24,正常,0,0.01,正常
30057,20057,378.31,1141.01,911.98,0.3316,次级,1,0.09,正常
30058,20058,812.44,3269.33,3278.75,0.2485,正常,0,0.19,正常
30059,20059,321.12,1497.63,1542.19,0.2144,正常,0,0.02,正常
30060,20060,587.62,2125.32,1522.85,0.2765,正常,1,0.03,正常
30061,20061,635.26,3634.86,3822.7,0.1748,正常,0,0.27,低置信
30062,20062,5893.94,7529.86,7395.73,0.7827,正常,0,0.09,正常
30063,20063,1367.58,4693.72,4711.79,0.2914,正常,0,0.09,正常
30064,20064,1190.94,3248.28,3108.61,0.3666,正常,0,0.06,正常
30065,20065,1255.72,4479.83,3946.65,0.2803,正常,1,0.23,低置信
30066,20066,1103.33,6290.53,5900.99,0.1754,正常,0,0.29,低置信
30067,20067,3136.71,6071.32,7001.14,0.5166,关注,0,0.08,正常
30068,20068,1802.26,4867.56,5219.79,0.3703,正常,0,0.08,正常
30069,20069,1851.93,4416.88,3861.45,0.4193,正常,0,0.06,正常
30070,20070,3331.79,6450.57,6341.46,0.5165,正常,0,0.14,正常
30071,20071,2937.37,5376.67,5233.17,0.5463,次级,0,0.07,正常
30072,20072,3747.74,5822.05,5171.59,0.6437,正常,1,0.26,低置信
30073,20073,2181.5,5294.63,5437.1,0.412,正常,0,0.13,正常
30074,20074,3594.5,6214.34,5883.51,0.5784,正常,0,0.27,低置信
30075,20075,2081.32,6367.6,6478.65,0.3269,正常,0,0.28,低置信
30076,20076,811.75,3708.99,3115.4,0.2189,正常,1,0.2,正常
30077,20077,1000.26,3080.71,2798.38,0.3247,正常,0,0.11,正常
30078,20078,3315.77,7553.14,8080.92,0.439,正常,0,0.12,正常
30079,20079,5258.16,7702.71,8507.86,0.6826,正常,0,0.22,低置信
30080,20080,4764.7,8640.59,9240.65,0.5514,正常,0,0.28,低置信
30081,20081,1547.35,2078.66,2093.83,0.7444,正常,0,0.2,正常
30082,20082,722.99,1514.95,1205.16,0.4772,正常,0,0.28,低置信
30083,20083,1723.55,5416.18,4490.04,0.3182,正常,0,0.25,低置信
30084,20084,1818.56,5413.98,5393.23,0.3359,正常,0,0.13,正常
30085,20085,813.45,2853.55,2832.77,0.2851,可疑,0,0.09,正常
30086,20086,1017.62,4015.98,3189.01,0.2534,正常,0,0.02,正常
30087,20087,1803.61,3333.1,3697.29,0.5411,正常,0,0.02,正常
30088,20088,1294.85,3917.85,3771.51,0.3305,正常,0,0.17,正常
30089,20089,2732.04,4670.71,4807.69,0.5849,正常,0,0.18,正常
30090,20090,692.09,2964.57,2881.39,0.2335,正常,0,0.14,正常
30091,20091,1283.47,4636.8,4977.16,0.2768,正常,0,0.01,正常
30092,20092,737.89,2579.94,1696.64,0.286,正常,0,0.25,低置信
30093,20093,979.65,3463.95,2905.45,0.2828,正常,0,0.13,正常
30094,20094,776.06,2848.67,2136.0,0.2724,正常,0,0.29,低置信
30095,20095,2753.52,5871.51,5829.44,0.469,正常,0,0.1,正常
30096,20096,1476.03,3652.76,3207.32,0.4041,正常,0,0.17,正常
30097,20097,1979.65,4132.12,3538.6,0.4791,正常,0,0.01,正常
30098,20098,6212.23,11988.4,12926.53,0.5182,正常,0,0.02,正常
30099,20099,2393.17,7891.35,8196.97,0.3033,正常,1,0.15,正常
30100,20100,3945.41,5168.6,5507.6,0.7633,关注,0,0.07,正常
30101,20101,1348.45,5215.31,5665.25,0.2586,正常,0,0.08,正常
30102,20102,2039.33,2960.51,2644.67,0.6888,正常,0,0.07,正常
30103,20103,3257.81,9046.74,9813.59,0.3601,正常,0,0.14,正常
30104,20104,2180.53,4859.1,5528.22,0.4488,正常,1,0.06,正常
30105,20105,1980.59,3520.09,3713.24,0.5627,正常,0,0.25,低置信
30106,20106,796.35,1781.71,2012.66,0.447,正常,0,0.26,低置信
30107,20107,350.27,849.47,695.72,0.4123,正常,0,0.16,正常
30108,20108,1063.12,2419.0,2583.35,0.4395,正常,0,0.06,正常
30109,20109,2568.48,8042.6,8172.83,0.3194,次级,0,0.24,低置信
30110,20110,1208.3,2125.29,1851.37,0.5685,正常,0,0.28,低置信
30111,20111,5146.67,7005.08,8190.96,0.7347,正常,0,0.17,正常
30112,20112,6340.06,8999.25,9337.75,0.7045,正常,0,0.2,正常
30113,20113,1240.41,3483.42,3508.34,0.3561,正常,0,0.27,低置信
30114,20114,203.38,1212.78,696.54,0.1677,正常,0,0.17,正常
30115,20115,2149.53,5011.89,4757.38,0.4289,正常,0,0.2,正常
30116,20116,2730.59,7915.63,7903.84,0.345,正常,1,0.21,低置信
30117,20117,3408.36,7108.73,7085.56,0.4795,正常,0,0.03,正常
30118,20118,808.97,3483.86,3434.5,0.2322,正常,0,0.07,正常
30119,20119,1680.16,3595.19,3178.05,0.4673,正常,0,0.22,低置信
30120,20120,926.03,3455.27,3057.25,0.268,关注,0,0.05,正常
30121,20121,1921.11,5998.56,6225.47,0.3203,正常,0,0.06,正常
30122,20122,838.16,2280.01,2541.02,0.3676,正常,0,0.16,正常
30123,20123,2553.25,5032.53,4961.05,0.5073,正常,0,0.05,正常
30124,20124,1019.41,6018.13,5981.45,0.1694,正常,0,0.27,低置信
30125,20125,2577.62,11042.55,12105.32,0.2334,正常,0,0.07,正常
30126,20126,5336.28,7728.32,8015.31,0.6905,正常,0,0.02,正常
30127,20127,1468.37,5780.84,5626.27,0.254,正常,0,0.01,正常
30128,20128,547.51,2554.82,2300.03,0.2143,正常,0,0.17,正常
30129,20129,2903.19,3928.94,3920.42,0.7389,次级,0,0.12,正常
30130,20130,2810.25,7156.18,5867.92,0.3927,正常,0,0.06,正常
30131,20131,3432.66,8972.07,9062.4,0.3826,关注,1,0.1,正常
30132,20132,3821.44,6217.76,6743.31,0.6146,正常,0,0.24,低置信
30133,20133,991.48,2916.58,2105.19,0.3399,正常,0,0.2,正常
30134,20134,2582.35,7477.67,7751.51,0.3453,正常,0,0.22,低置信
30135,20135,3538.11,7768.27,8010.06,0.4555,正常,1,0.18,正常
30136,20136,1242.41,3508.12,3718.62,0.3542,正常,0,0.27,低置信
30137,20137,550.45,2495.14,2344.97,0.2206,正常,0,0.2,正常
30138,20138,6244.41,9382.84,9809.71,0.6655,正常,0,0.26,低置信
30139,20139,3383.37,10682.82,11489.11,0.3167,关注,0,0.06,正常
30140,20140,8622.15,11120.42,12463.41,0.7753,正常,0,0.01,正常
30141,20141,6805.58,7823.5,8896.7,0.8699,关注,0,0.19,预警
30142,20142,3128.47,6276.6,6284.55,0.4984,正常,1,0.14,正常
30143,20143,588.56,3256.53,3045.73,0.1807,正常,0,0.06,正常
30144,20144,2080.39,3978.24,4104.06,0.5229,正常,1,0.03,正常
30145,20145,702.96,3013.47,2036.11,0.2333,正常,1,0.03,正常
30146,20146,1940.39,4342.08,4257.38,0.4469,正常,0,0.28,低置信
30147,20147,2634.56,7166.72,6710.76,0.3676,正常,0,0.24,低置信
30148,20148,1295.09,7375.66,7230.28,0.1756,正常,0,0.3,低置信
30149,20149,875.5,3818.55,3182.19,0.2293,正常,0,0.02,正常
30150,20150,1618.39,6744.88,6436.01,0.2399,正常,0,0.3,低置信
30151,20151,1275.89,4350.11,4097.55,0.2933,正常,0,0.13,正常
30152,20152,832.19,2894.96,2278.04,0.2875,正常,0,0.26,低置信
30153,20153,2161.71,6008.15,6220.22,0.3598,正常,0,0.12,正常
30154,20154,1634.78,8579.94,8767.66,0.1905,正常,0,0.21,低置信
30155,20155,1669.49,4158.26,4327.29,0.4015,正常,0,0.2,正常
30156,20156,584.91,1837.23,1554.62,0.3184,正常,0,0.15,正常
30157,20157,3754.63,7518.13,8490.29,0.4994,正常,0,0.0,正常
30158,20158,5928.54,9612.96,9918.44,0.6167,正常,0,0.29,低置信
30159,20159,4120.7,5761.98,5681.74,0.7152,正常,1,0.14,正常
30160,20160,515.9,3578.89,3419.82,0.1442,正常,0,0.23,低置信
30161,20161,1462.52,4963.42,4518.8,0.2947,关注,0,0.02,正常
30162,20162,2812.68,5022.57,5003.47,0.56,关注,0,0.02,正常
30163,20163,1642.92,5664.24,5829.06,0.2901,正常,0,0.16,正常
30164,20164,3173.12,9777.36,10053.0,0.3245,正常,0,0.0,正常
30165,20165,1830.77,6301.66,6987.39,0.2905,正常,0,0.26,低置信
30166,20166,897.76,2950.43,2460.1,0.3043,正常,0,0.03,正常
30167,20167,4302.41,7927.57,7653.86,0.5427,次级,0,0.28,低置信
30168,20168,1503.64,5498.13,5375.12,0.2735,正常,0,0.17,正常
30169,20169,1144.94,4914.9,5112.35,0.233,正常,0,0.23,低置信
30170,20170,2752.45,5936.14,6384.69,0.4637,正常,1,0.15,正常
30171,20171,1153.72,5427.87,4832.5,0.2126,正常,0,0.08,正常
30172,20172,1085.3,4082.69,3993.0,0.2658,正常,0,0.08,正常
30173,20173,3547.0,4978.85,5375.3,0.7124,关注,0,0.24,低置信
30174,20174,2246.96,4159.98,3257.47,0.5401,正常,1,0.09,正常
30175,20175,347.71,2030.6,1376.02,0.1712,次级,1,0.14,正常
30176,20176,1443.5,5781.59,5592.81,0.2497,正常,0,0.27,低置信
30177,20177,1468.16,7754.72,8443.26,0.1893,正常,0,0.08,正常
30178,20178,2504.67,11141.0,11732.21,0.2248,正常,0,0.24,低置信
30179,20179,4321.85,11659.19,12214.7,0.3707,正常,0,0.23,低置信
30180,20180,2425.96,4351.52,4054.83,0.5575,正常,0,0.14,正常
30181,20181,974.49,5709.19,5609.67,0.1707,关注,0,0.09,正常
30182,20182,3277.69,7904.96,8147.15,0.4146,正常,0,0.16,正常
30183,20183,1720.64,6188.32,6209.49,0.278,正常,0,0.23,低置信
30184,20184,1154.17,2622.25,2176.61,0.4401,正常,0,0.26,低置信
30185,20185,4127.95,9106.13,9975.14,0.4533,正常,0,0.26,低置信
30186,20186,2222.98,3988.03,3796.53,0.5574,关注,0,0.05,正常
30187,20187,1019.3,2875.85,2435.93,0.3544,正常,0,0.03,正常
30188,20188,2063.98,5427.22,5634.71,0.3803,正常,1,0.17,正常
30189,20189,578.97,2138.85,1265.45,0.2707,正常,0,0.23,低置信
30190,20190,1562.01,6024.01,5648.12,0.2593,损失,0,0.12,正常
30191,20191,1502.18,6450.81,6800.52,0.2329,正常,0,0.29,低置信
30192,20192,360.45,833.67,515.16,0.4324,关注,0,0.15,正常
30193,20193,1469.36,2395.68,2186.1,0.6133,正常,0,0.2,正常
30194,20194,4930.72,5059.0,6051.92,0.9746,次级,0,0.14,预警
30195,20195,3121.25,6517.9,6783.16,0.4789,损失,0,0.06,正常
30196,20196,4405.67,7700.67,8458.29,0.5721,正常,1,0.12,正常
30197,20197,588.9,1839.9,1528.95,0.3201,正常,0,0.03,正常
30198,20198,1170.94,3291.05,3390.92,0.3558,正常,0,0.07,正常
30199,20199,658.25,1911.72,1403.35,0.3443,正常,0,0.21,低置信
